"DeletedDateTime","Description","DisplayName","Id","Members","RoleTemplateId","ScopedMembers","AdditionalProperties"
,"Read audit logs and configure diagnostic settings for events related to custom security attributes.","Attribute Log Administrator","3e7f4aa5-5330-4b81-bae6-f00a0f6a14b9",,"5b784334-f94b-471a-a387-e7219fc49ca2",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Only used by Microsoft Entra Connect service.","Directory Synchronization Accounts","40b698ae-4cc9-4347-ac53-1175ee516386",,"d29b2b05-8046-44ba-8758-1e26182fcf32",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Write, publish, manage, and review the organizational messages for end-users through Microsoft product surfaces.","Organizational Messages Writer","40c0551a-37bd-4477-9cbe-74d6d0b64284",,"507f53e4-4e52-4077-abd3-d2e1558b6ea2",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can manage the Microsoft Teams service.","Teams Administrator","42ec8596-99eb-4196-9875-c13d2bb61d03",,"69091246-20e8-4a56-aa4d-066075b2a7a8",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Security Administrator allows ability to read and manage security configuration and reports.","Security Administrator","43d64a33-5cdd-4b2f-b083-0e96752b71e6",,"194ae4cb-b126-40b2-bd5b-6091b380977d",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can read basic directory information. Commonly used to grant directory read access to applications and guests.","Directory Readers","525f83a0-ac3c-4bcc-b564-7437750d60ad",,"88d8e3e3-8f55-4a1e-953a-9b9898b8876b",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can provision and manage all aspects of Cloud PCs.","Windows 365 Administrator","52645f66-0d0a-4ec0-8e39-5fde774b434d",,"11451d60-acb2-45eb-a7d6-43d0f0125c13",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can read and write basic directory information. For granting access to applications, not intended for users.","Directory Writers","576f4860-7966-44a7-a6b8-dbb41d3083ef",,"9360feb5-f418-4baa-8175-e2a00bac4301",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Creates and manages compliance content.","Compliance Data Administrator","57adff52-e8aa-4a9f-841d-3d77769c0cf1",,"e6d1a23a-da11-4be4-9570-befc86d067a7",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can read messages and updates for their organization in Office 365 Message Center only.","Message Center Reader","5d09cc08-5b9a-4ed6-9c52-9f938b993e80",,"790c1fb9-7f7d-4f88-86a1-ef1f95c05c1b",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can create and manage all aspects of Microsoft Dynamics 365, PowerApps and Microsoft Flow.","Power Platform Administrator","5d1b9b9c-1b49-47cf-9a57-bd3810aaca82",,"11648597-926c-4cf3-9c36-bcebb0ba8dcc",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can manage all aspects of the Azure Information Protection product.","Azure Information Protection Administrator","5fb5d868-a206-42c9-85fa-b7312717a15f",,"7495fdc4-34c4-4d15-a289-98788ce399fd",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can manage Azure DevOps organization policy and settings.","Azure DevOps Administrator","603b774a-868e-49b7-b20c-0de3553f0040",,"e3973bdf-4987-49ae-837a-ba8e231c7286",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Users assigned to this role are added to the local administrators group on Microsoft Entra joined devices.","Azure AD Joined Device Local Administrator","61622f3e-0d0e-45f1-a92b-8d5ff1cb66d6",,"9f06204d-73c1-4d4c-880a-6edb90606fd8",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can create attack payloads that an administrator can initiate later.","Attack Payload Author","682c3d2c-6646-4c16-8de5-398364118ec7",,"9c6df0f2-1e7c-4dc3-b195-66dfbd24aa8f",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Creates and manages security events.","Security Operator","6873c423-82de-4fe7-8da4-22e08fbf8d2d",,"5f2222b1-57c3-48ba-8ad5-d4759f1fde6f",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can manage all aspects of the Intune product.","Intune Administrator","69cb48d0-6c79-4705-9871-8e2565496bca",,"3a2c62db-5318-420d-8d74-23affee5d9d5",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can configure identity providers for use in direct federation.","External Identity Provider Administrator","6a98f6f9-e05d-4dcb-8a26-8d4f8db8d02a",,"be2f45a1-457d-42af-a067-6ec1fa63bc45",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"View product feedback, survey results, and reports to find training and communication opportunities.","User Experience Success Manager","6bff884c-2f19-48ea-965b-2138c1282efb",,"27460883-1df1-4691-b032-3b79643e5e63",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Has administrative access in the Microsoft 365 Insights app.","Insights Administrator","6c262b71-fca8-46c7-939d-ddc57997d599",,"eb1f4a8d-243a-41f0-9fbd-c7cdf6c5ef7c",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can configure knowledge, learning, and other intelligent features.","Knowledge Administrator","6d2f380a-9de6-4f14-8115-cd897d112698",,"b5a8dcf3-09d5-43a9-a639-8e29ef291470",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can reset passwords for non-administrators and Helpdesk Administrators.","Helpdesk Administrator","6d66af6f-a18f-45ba-8398-bfa02ae0dd15",,"729827e3-9c14-49f7-bb1b-9608f156bbb8",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can see only tenant level aggregates in Microsoft 365 Usage Analytics and Productivity Score.","Usage Summary Reports Reader","6d830753-0d51-4817-b6ef-dab75497a41b",,"75934031-6c7e-415a-99d7-48dbd49e875e",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Members of this role can create/manage groups, create/manage groups settings like naming and expiration policies, and view groups activity and audit reports.","Groups Administrator","706c072b-6cc7-4ae7-9dc3-e547ac5bac8a",,"fdd7a751-b60b-444a-984c-02652fe8fa1c",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can manage Office apps cloud services, including policy and settings management, and manage the ability to select, unselect and publish 'what's new' feature content to end-user's devices.","Office Apps Administrator","73dbb9bb-d5cd-400d-ac98-2a59ba22abed",,"2b745bdf-0803-4d80-aa65-822c4493daac",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Define and manage the definition of custom security attributes.","Attribute Definition Administrator","74bf4bc2-c827-4ab2-b8a7-f81d2e6ced53",,"8424c6f0-a189-499e-bbd0-26c1753c96d4",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Perform all migration functionality to migrate content to Microsoft 365 using Migration Manager.","Microsoft 365 Migration Administrator","798e4af7-1d02-4220-a772-0f547e8dd145",,"8c8b803f-96e1-4129-9349-20738d9f9652",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can troubleshoot communications issues within Teams using basic tools.","Teams Communications Support Specialist","7c1d97f3-7208-4ff4-9e9a-3f583fcecec9",,"fcf91098-03e3-41a9-b5ba-6f0ec8188a12",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
